word,count,change
new york,4975,0.0
world health,4342,2
stay home,3768,-1
death toll,3351,-1
health organization,2998,1
world health organization,2881,1
president trump,2592,2
due covid,2557,2
tested positive,2414,5
deliver copy,2332,-5
public health,2322,12
pandemic covid,2185,New
twitter web,2176,8
health care,2104,12
fight covid,2018,-3
white house,1911,6
task force,1902,7
stay safe,1846,7
amid covid,1831,12
gon na,1766,8
fake news,1698,6
year old,1697,8
corona virus,1681,6
many people,1618,8
around world,1601,9
mental health,1525,9
fox news,1503,New
positive covid,1371,5
good news,1336,12
stimulus check,1261,New
pay cut,1247,New
spread covid,1241,13
part china,1159,New
pandemia covid,1148,New
at home,1142,14
help us,1138,7
long term,1124,5
every day,1106,New
lab part,1103,New
test positive,1099,0
lab part china,1096,New
nursing home,1092,New
york times,1087,4
new york times,1083,4
response covid,1070,New
social media,1053,4
new covid,1053,New
compete us,1041,New
make sure,1028,-12
care home,1025,-12
