word,count,change
stay home,5130,0.0
new york,4995,0
tested positive,2995,7
death toll,2835,-1
white house,2633,21
stay safe,2412,3
year old,2199,12
gon na,2107,3
corona virus,2096,3
health care,1916,4
due covid,1914,2
virus corona,1826,New
positive covid,1782,11
public health,1780,6
task force,1645,15
twitter web,1636,1
fake news,1604,-2
sign petition,1493,4
president trump,1476,-1
fight covid,1461,1
many people,1360,7
amid covid,1243,5
made pillow,1175,New
good news,1158,-1
virus covid,1147,0
around world,1146,6
test positive,1135,19
last week,1126,-12
fox news,1045,0
help us,1043,9
petition via,1031,0
mental health,1021,5
sign petition via,1006,0
every day,992,7
social media,965,7
people dying,959,4
make sure,955,New
spread covid,941,6
working home,927,New
god bless,921,3
death rate,916,8
first time,916,New
trump administration,912,New
at home,859,-8
response covid,831,New
go back,825,New
take care,822,New
home order,800,-14
one day,794,New
people die,787,New
