Category: All categories

Day,oil prices: (United States)
2020-04-02,13
2020-04-03,13
2020-04-04,6
2020-04-05,5
2020-04-06,11
2020-04-07,9
2020-04-08,9
2020-04-09,12
2020-04-10,9
2020-04-11,4
2020-04-12,6
2020-04-13,12
2020-04-14,8
2020-04-15,9
2020-04-16,8
2020-04-17,9
2020-04-18,4
2020-04-19,4
2020-04-20,100
2020-04-21,60
2020-04-22,24
2020-04-23,16
2020-04-24,10
2020-04-25,5
2020-04-26,5
2020-04-27,11
2020-04-28,10
2020-04-29,9
