word,count,change
new york,4985,0.0
death toll,4011,6
president trump,3627,4
stay home,3180,-2
white house,2922,6
inject disinfectant,2548,New
fake news,2429,6
due covid,2276,-4
twitter web,2098,-3
gon na,1999,2
around world,1949,13
public health,1920,-2
task force,1877,-10
disinfectant treatment,1862,New
tested positive,1806,-10
stay safe,1719,-1
fight covid,1705,-3
treat covid,1588,New
amid covid,1580,-1
corona virus,1493,2
fox news,1440,-5
test positive,1436,-13
mental health,1434,0
wrote trump,1430,New
year old,1409,-4
peddling bleach,1402,New
health care,1397,-7
cure wrote,1385,New
new covid,1379,-1
many people,1371,-4
cure wrote trump,1334,New
group peddling,1323,New
group peddling bleach,1316,New
positive covid,1299,-17
small business,1282,-6
leader group,1280,New
leader group peddling,1277,New
trump week,1268,New
wrote trump week,1261,New
drink bleach,1233,New
revealed leader,1223,New
help us,1210,-8
good news,1195,-13
people inject,1188,New
revealed leader group,1180,New
sign petition,1174,-27
cure covid,1174,New
long term,1171,-17
pandemia covid,1155,New
york times,1154,-9
