word,count,change
stay home,5796,0.0
new york,4977,0
stay safe,2825,3
tested positive,2456,0
corona virus,2237,6
gon na,2098,1
due covid,2029,13
death toll,1983,2
health care,1851,24
sign petition,1782,20
year old,1732,4
self employed,1701,New
public health,1693,19
president trump,1606,9
twitter web,1598,-3
help us,1543,New
petition via,1489,New
people dying,1472,New
sign petition via,1461,New
stimulus package,1452,-12
fake news,1440,10
many people,1421,14
positive covid,1369,-18
fight covid,1319,10
white house,1243,-22
good news,1209,-2
amid covid,1192,2
around world,1176,15
last week,1128,New
test positive,1124,-5
task force,1111,13
stimulus bill,1066,-14
fox news,1042,13
back work,1017,New
spread covid,1016,New
virus covid,1000,New
make sure,995,New
new york times,977,New
york times,977,New
slow spread,968,-31
social media,959,New
death rate,950,New
whole world,939,New
go back,926,New
take care,917,New
every day,914,New
relief package,892,New
self isolation,886,-8
god bless,878,New
front line,877,New
