word,count,change
stay home,4996,0.0
new york,4368,0
death toll,2791,0
white house,2583,0
tested positive,2312,0
stay safe,2120,0
gon na,2078,0
public health,2011,5
due covid,1856,-1
health care,1801,2
corona virus,1741,-2
fox news,1729,11
task force,1724,1
twitter web,1685,1
sign petition,1640,-5
president trump,1580,2
fight covid,1565,0
year old,1553,-2
many people,1516,2
aircraft carrier,1477,New
fake news,1453,-10
petition via,1381,-3
positive covid,1377,-1
sign petition via,1345,-4
amid covid,1300,1
good news,1258,6
at home,1232,-3
last week,1207,10
trump administration,1188,14
social media,1141,5
help us,1137,-4
around world,1122,-2
one million,1056,New
stay at,1032,-6
spread covid,1028,2
stay at home,1026,-7
mental health,1007,4
every day,976,-4
home order,967,-14
make sure,953,2
god bless,952,-2
prime minister,949,New
test positive,942,-7
people dying,897,-11
york times,894,New
new york times,892,New
keep safe,875,-7
response covid,862,New
dan strategi,827,New
front line,820,New
