word,count,change
new york,6162,0.0
death toll,4578,0
stay home,3361,0
due covid,2240,2
fake news,2222,-1
tested positive,2137,1
fight covid,2067,7
white house,1966,-3
public health,1790,2
positive covid,1729,10
task force,1726,11
twitter web,1712,3
president trump,1707,-5
stay safe,1689,-4
gon na,1657,-6
corona virus,1650,-4
spread covid,1592,26
contact tracing,1576,30
many people,1571,4
new covid,1497,-3
amid covid,1495,3
test positive,1456,6
at home,1362,4
around world,1333,-6
death rate,1325,15
health care,1286,-7
year old,1254,-14
mental health,1227,22
first time,1202,New
herd immunity,1138,-9
total number,1115,New
stay at,1080,New
stay at home,1078,New
good news,1072,15
social media,1066,New
help us,1061,6
prime minister,1053,New
nursing home,1039,-22
society know,1034,6
fox news,1032,7
every day,1027,New
back work,986,New
pandemia covid,975,New
york times,965,-7
new york times,959,-7
twitter android,947,New
long term,922,New
heading towards,904,New
go back,899,New
da covid,872,New
