word,count,change
new york,6385,0.0
death toll,3761,0
stay home,3727,0
due covid,3071,0
white house,2908,3
fight covid,2666,1
twitter web,2446,5
tested positive,2425,-2
task force,2125,2
public health,2085,-1
positive covid,1985,-1
gon na,1952,3
president trump,1914,0
stay safe,1896,0
amid covid,1852,6
mental health,1806,12
health care,1741,9
new covid,1724,2
fake news,1723,-14
at home,1720,3
many people,1611,-2
prime minister,1609,15
sign petition,1582,New
corona virus,1579,-8
back work,1507,17
small business,1497,New
around world,1493,-3
contact tracing,1487,-10
last week,1484,New
stay at,1444,2
stay at home,1437,2
fox news,1420,8
death rate,1373,-8
society know,1335,5
supply chain,1320,New
join us,1317,New
test positive,1310,-15
pandemia covid,1303,5
help us,1300,-3
front line,1269,New
social media,1267,-6
year old,1266,-15
good news,1209,-9
every day,1189,-3
home order,1181,New
spread covid,1154,-29
nursing home,1141,-9
press conference,1139,New
york times,1128,-5
new york times,1126,-5
