word,count,change
new york,7144,0.0
stay home,3879,0
task force,2800,7
due covid,2773,2
tested positive,2542,7
twitter web,2481,1
president trump,2423,8
death toll,2380,-4
test positive,2241,-1
public health,2136,-1
white house,2099,5
gon na,2075,2
fake news,1999,8
fight covid,1971,6
stay safe,1942,2
fox news,1892,-5
positive covid,1870,-4
amid covid,1860,0
sign petition,1782,New
health care,1745,-1
year old,1684,4
corona virus,1679,2
mental health,1556,6
around world,1543,2
petition via,1506,New
many people,1493,1
sign petition via,1483,New
new covid,1439,0
small business,1400,5
good news,1384,5
long term,1364,-1
contact tracing,1351,1
at home,1328,-10
help us,1318,4
via change,1251,New
every day,1238,4
back work,1227,11
last week,1206,New
petition via change,1195,New
join us,1174,-8
york times,1165,-4
new york times,1162,-3
da covid,1153,New
nursing home,1130,New
go back,1120,-9
second wave,1117,-41
impact covid,1117,New
spread covid,1096,-2
top story,1092,New
stay at,1080,-6
