word,count,change
death toll,5642,1.0
new york,4953,-1
stay home,3682,0
due covid,3229,1
twitter web,2601,3
tested positive,2589,0
white house,2551,4
good news,2533,New
public health,2183,1
health care,2026,-3
gon na,2020,8
year old,1921,12
president trump,1887,8
stay safe,1873,9
amid covid,1850,2
positive covid,1809,-1
death rate,1771,9
mental health,1757,4
fight covid,1736,-5
task force,1728,-7
corona virus,1691,4
new covid,1656,13
many people,1632,6
sign petition,1584,24
contact tracing,1565,13
fake news,1473,10
da covid,1429,13
join us,1418,-19
around world,1413,4
wear mask,1410,-14
back work,1379,15
impact covid,1377,New
care home,1374,-3
second wave,1354,New
test positive,1344,2
go back,1338,New
success story,1320,New
petition via,1312,New
sign petition via,1297,New
pandemia covid,1288,-9
long term,1276,4
fox news,1270,-8
at home,1268,-23
trump administration,1263,New
stay open,1254,New
social media,1248,-14
first quarter,1223,New
every day,1196,-4
help us,1180,-8
make sure,1158,-3
