word,count,change
new york,5680,0.0
death toll,4457,0
stay home,3841,0
minute silence,3247,New
due covid,2956,-1
tested positive,2634,2
health care,2575,10
twitter web,2451,-1
join us,2164,27
public health,2153,0
white house,2029,-6
front line,2022,28
task force,1933,-4
fight covid,1902,-8
positive covid,1881,-4
wear mask,1860,New
amid covid,1850,-2
mike pence,1826,New
gon na,1811,-7
at home,1805,0
president trump,1778,-8
mental health,1736,-6
stay safe,1731,-9
year old,1657,18
corona virus,1647,-1
death rate,1636,7
stay at,1609,3
stay at home,1598,3
many people,1562,-8
care home,1556,New
pandemia covid,1496,7
social media,1486,9
around world,1475,-6
fox news,1473,-2
new covid,1467,-17
fake news,1406,-17
test positive,1366,0
contact tracing,1365,-10
face mask,1321,New
da covid,1299,New
help us,1267,-2
last week,1183,-13
wearing mask,1162,New
every day,1158,0
long term,1133,New
back work,1133,-21
make sure,1106,New
sign petition,1102,-25
new york times,1095,1
york times,1095,-1
