word,count,change
new york,6011,0.0
death toll,5218,0
stay home,3563,1
fake news,2387,3
white house,2118,0
due covid,2045,2
tested positive,2024,8
president trump,1898,-5
gon na,1800,1
stay safe,1752,6
public health,1614,1
corona virus,1600,8
year old,1589,12
fight covid,1575,3
twitter web,1568,-6
nursing home,1506,New
new covid,1479,12
around world,1410,-7
health care,1401,8
positive covid,1374,14
herd immunity,1372,New
task force,1366,-9
many people,1359,7
amid covid,1353,-5
second infection,1239,New
wrote trump,1236,-2
at home,1234,New
test positive,1192,-6
young people,1164,New
leader group,1150,6
cure wrote,1147,-3
peddling bleach,1143,-6
group peddling,1143,-1
cure wrote trump,1132,-3
leader group peddling,1126,2
group peddling bleach,1123,-3
york times,1121,13
new york times,1116,New
trump week,1105,-1
death rate,1105,New
wrote trump week,1098,-2
help us,1081,0
spread covid,1056,New
revealed leader,1048,-3
society know,1043,New
revealed leader group,1041,-1
fox news,1015,-26
contact tracing,1015,New
good news,996,-6
mental health,994,-27
