word,count
stay home,5796
new york,4977
stay safe,2825
tested positive,2456
corona virus,2237
gon na,2098
due covid,2029
death toll,1983
health care,1851
sign petition,1782
year old,1732
self employed,1701
public health,1693
president trump,1606
twitter web,1598
help us,1543
petition via,1489
people dying,1472
sign petition via,1461
stimulus package,1452
fake news,1440
many people,1421
positive covid,1369
fight covid,1319
white house,1243
good news,1209
amid covid,1192
around world,1176
last week,1128
test positive,1124
task force,1111
stimulus bill,1066
fox news,1042
back work,1017
spread covid,1016
virus covid,1000
make sure,995
new york times,977
york times,977
slow spread,968
social media,959
death rate,950
whole world,939
go back,926
take care,917
every day,914
relief package,892
self isolation,886
god bless,878
front line,877
