word,count
stay home,5430
new york,5185
stay safe,3186
health care,2560
white house,2462
death toll,2354
gon na,2194
tested positive,2163
due covid,2077
public health,1969
corona virus,1951
fight covid,1808
twitter web,1794
fox news,1772
task force,1729
year old,1614
trump administration,1582
around world,1424
president trump,1402
many people,1393
fake news,1373
amid covid,1334
at home,1317
sign petition,1311
positive covid,1271
good news,1164
stay at,1147
stay at home,1139
mental health,1132
help us,1087
social media,1072
virus covid,1050
home order,1036
make sure,1033
spread covid,1001
petition via,982
york times,966
new york times,964
every day,961
sign petition via,961
prime minister,939
wear mask,905
god bless,893
stop spread,881
small business,871
people dying,871
response covid,865
take care,850
global pandemic,842
go back,841
