word,count
new york,7135
stay home,5277
death toll,3822
tested positive,3035
admitted hospital,2925
prime minister,2562
white house,2318
fight covid,2134
positive covid,2080
fake news,2055
gon na,2035
corona virus,2012
year old,1960
stay safe,1956
fox news,1834
task force,1799
president trump,1761
many people,1635
public health,1623
health care,1608
due covid,1460
keep safe,1396
twitter web,1395
death rate,1392
york city,1276
around world,1273
new york city,1272
sign petition,1242
good news,1146
amid covid,1127
york times,1120
new york times,1117
people die,1112
deliver copy,1068
petition via,1033
people dying,1031
mask usage,1030
trump administration,1030
enforce mask,1026
safe enforce,1026
enforce mask usage,1026
safe enforce mask,1026
god bless,1019
keep safe enforce,1019
sign petition via,1018
usage deliver copy,1016
mask usage deliver,1016
usage deliver,1016
social media,1011
help us,994
