word,count
stay home,4356
new york,3665
white house,3165
tested positive,2772
positive covid,1743
stay safe,1732
gon na,1724
stimulus package,1683
slow spread,1651
death toll,1608
corona virus,1589
twitter web,1584
house senate,1464
help slow,1441
year old,1433
white house senate,1410
help slow spread,1395
stimulus bill,1358
identify risk,1319
due covid,1297
sooner self,1291
daily even,1242
president trump,1165
good news,1075
test positive,1022
relief bill,996
senate reach,957
house senate reach,938
amid covid,932
sign petition,921
fake news,920
public health,917
health care,915
fight covid,886
china must,836
many people,817
deliver copy,810
trillion stimulus,800
must act,795
self isolation,786
international court,785
veto power,783
around world,760
task force,760
deal trillion,759
fox news,757
stimulus deal,755
dragged international,737
must dragged,737
dragged international court,736
