word,count
new york,6385
death toll,3761
stay home,3727
due covid,3071
white house,2908
fight covid,2666
twitter web,2446
tested positive,2425
task force,2125
public health,2085
positive covid,1985
gon na,1952
president trump,1914
stay safe,1896
amid covid,1852
mental health,1806
health care,1741
new covid,1724
fake news,1723
at home,1720
many people,1611
prime minister,1609
sign petition,1582
corona virus,1579
back work,1507
small business,1497
around world,1493
contact tracing,1487
last week,1484
stay at,1444
stay at home,1437
fox news,1420
death rate,1373
society know,1335
supply chain,1320
join us,1317
test positive,1310
pandemia covid,1303
help us,1300
front line,1269
social media,1267
year old,1266
good news,1209
every day,1189
home order,1181
spread covid,1154
nursing home,1141
press conference,1139
york times,1128
new york times,1126
