word,count
stay home,5489
new york,3362
stay safe,1908
gon na,1889
corona virus,1794
tested positive,1699
sign petition,1520
twitter web,1450
white house,1408
self employed,1377
due covid,1324
president trump,1309
fox news,1241
public health,1233
year old,1218
death toll,1107
prime minister,1080
fake news,1075
positive covid,1069
good news,1061
fish tank,1036
petition via,940
sign petition via,925
amid covid,924
health care,923
back work,908
task force,881
test positive,862
tank cleaner,846
fish tank cleaner,835
many people,835
stimulus bill,822
fight covid,806
relief bill,754
at home,735
make sure,732
via change,711
social media,707
go back,704
around world,679
slow spread,668
help us,655
death rate,653
stimulus package,649
petition via change,643
home order,641
spread covid,633
self isolation,623
twitter android,621
work home,607
