word,count
new york,7144
stay home,3879
task force,2800
due covid,2773
tested positive,2542
twitter web,2481
president trump,2423
death toll,2380
test positive,2241
public health,2136
white house,2099
gon na,2075
fake news,1999
fight covid,1971
stay safe,1942
fox news,1892
positive covid,1870
amid covid,1860
sign petition,1782
health care,1745
year old,1684
corona virus,1679
mental health,1556
around world,1543
petition via,1506
many people,1493
sign petition via,1483
new covid,1439
small business,1400
good news,1384
long term,1364
contact tracing,1351
at home,1328
help us,1318
via change,1251
every day,1238
back work,1227
last week,1206
petition via change,1195
join us,1174
york times,1165
new york times,1162
da covid,1153
nursing home,1130
go back,1120
second wave,1117
impact covid,1117
spread covid,1096
top story,1092
stay at,1080
