word,count
new york,7634
stay home,4998
death toll,4218
white house,2600
task force,2408
tested positive,2240
due covid,2174
stay safe,2166
fake news,2106
public health,2026
contact tracing,2012
corona virus,1912
twitter web,1836
gon na,1780
health care,1776
year old,1734
fight covid,1729
amid covid,1714
many people,1598
president trump,1511
fox news,1476
positive covid,1468
sign petition,1438
hart island,1383
around world,1333
petition via,1240
sign petition via,1225
good news,1217
york city,1173
social media,1170
test positive,1161
new york city,1160
every day,1133
federal government,1125
herd immunity,1119
back work,1086
people dying,1067
go back,1027
mental health,1026
death rate,1020
virus covid,1008
spread covid,1006
prime minister,973
new covid,971
make sure,967
york times,964
new york times,961
via change,947
help us,947
people die,923
