word,count
new york,5842
death toll,5489
stay home,4665
tested positive,2133
white house,1923
stay safe,1910
due covid,1840
corona virus,1718
fake news,1705
year old,1701
gon na,1640
amid covid,1636
public health,1573
fight covid,1528
many people,1502
contact tracing,1473
york times,1470
new york times,1466
twitter web,1453
health care,1404
task force,1379
positive covid,1378
around world,1373
fox news,1232
death rate,1200
test positive,1142
people dying,1099
president trump,1090
good news,1019
total number,996
first time,988
sign petition,939
single day,933
social media,923
trump administration,889
help us,884
every day,879
front line,870
go back,867
prime minister,860
people die,859
herd immunity,842
testing positive,841
twitter android,841
happy easter,839
god bless,821
nursing home,817
york city,807
spread covid,806
virus covid,801
