word,count
new york,4898
stay home,4196
death toll,3973
world health,2162
president trump,2146
task force,2141
trump administration,2078
one world,2029
white house,1992
fox news,1950
fake news,1938
health organization,1905
world health organization,1882
gon na,1871
due covid,1847
tested positive,1809
corona virus,1776
stay safe,1747
public health,1734
amid covid,1689
twitter web,1616
at home,1591
many people,1568
fight covid,1553
real time,1530
stay at,1464
stay at home,1456
health care,1445
around world,1422
together home,1327
year old,1311
new covid,1267
world together,1238
positive covid,1226
test positive,1198
one world together,1188
herd immunity,1184
york times,1183
new york times,1175
death rate,1164
world together home,1156
prime minister,1146
go back,1110
good news,1023
help us,1021
mental health,997
back work,974
first time,970
time information,947
real time information,944
