word,count
death toll,5642
new york,4953
stay home,3682
due covid,3229
twitter web,2601
tested positive,2589
white house,2551
good news,2533
public health,2183
health care,2026
gon na,2020
year old,1921
president trump,1887
stay safe,1873
amid covid,1850
positive covid,1809
death rate,1771
mental health,1757
fight covid,1736
task force,1728
corona virus,1691
new covid,1656
many people,1632
sign petition,1584
contact tracing,1565
fake news,1473
da covid,1429
join us,1418
around world,1413
wear mask,1410
back work,1379
impact covid,1377
care home,1374
second wave,1354
test positive,1344
go back,1338
success story,1320
petition via,1312
sign petition via,1297
pandemia covid,1288
long term,1276
fox news,1270
at home,1268
trump administration,1263
stay open,1254
social media,1248
first quarter,1223
every day,1196
help us,1180
make sure,1158
