word,count
new york,4985
death toll,4011
president trump,3627
stay home,3180
white house,2922
inject disinfectant,2548
fake news,2429
due covid,2276
twitter web,2098
gon na,1999
around world,1949
public health,1920
task force,1877
disinfectant treatment,1862
tested positive,1806
stay safe,1719
fight covid,1705
treat covid,1588
amid covid,1580
corona virus,1493
fox news,1440
test positive,1436
mental health,1434
wrote trump,1430
year old,1409
peddling bleach,1402
health care,1397
cure wrote,1385
new covid,1379
many people,1371
cure wrote trump,1334
group peddling,1323
group peddling bleach,1316
positive covid,1299
small business,1282
leader group,1280
leader group peddling,1277
trump week,1268
wrote trump week,1261
drink bleach,1233
revealed leader,1223
help us,1210
good news,1195
people inject,1188
revealed leader group,1180
sign petition,1174
cure covid,1174
long term,1171
pandemia covid,1155
york times,1154
