word,count
new york,5385
stay home,4735
death toll,3745
world health,3577
deliver copy,3345
health organization,3197
world health organization,3133
million people,2928
president trump,2811
due covid,2637
student debt,2475
fight covid,2442
stimulate economy,2401
tested positive,2392
people student debt,2385
million people student,2385
people student,2385
student debt stimulate,2378
debt stimulate economy,2378
debt stimulate,2378
twitter web,2353
white house,2331
public health,2316
task force,2208
stay safe,2154
health care,2110
fake news,2069
gon na,1881
corona virus,1877
year old,1808
amid covid,1745
many people,1641
positive covid,1562
around world,1472
mental health,1404
till may,1394
make sure,1374
care home,1324
prime minister,1306
test positive,1303
good news,1249
long term,1236
help us,1202
total authority,1196
spread covid,1194
link android,1179
york times,1160
new york times,1159
at home,1156
social media,1145
