word,count
new york,6162
death toll,4578
stay home,3361
due covid,2240
fake news,2222
tested positive,2137
fight covid,2067
white house,1966
public health,1790
positive covid,1729
task force,1726
twitter web,1712
president trump,1707
stay safe,1689
gon na,1657
corona virus,1650
spread covid,1592
contact tracing,1576
many people,1571
new covid,1497
amid covid,1495
test positive,1456
at home,1362
around world,1333
death rate,1325
health care,1286
year old,1254
mental health,1227
first time,1202
herd immunity,1138
total number,1115
stay at,1080
stay at home,1078
good news,1072
social media,1066
help us,1061
prime minister,1053
nursing home,1039
society know,1034
fox news,1032
every day,1027
back work,986
pandemia covid,975
york times,965
new york times,959
twitter android,947
long term,922
heading towards,904
go back,899
da covid,872
