word,count
new york,6011
death toll,5218
stay home,3563
fake news,2387
white house,2118
due covid,2045
tested positive,2024
president trump,1898
gon na,1800
stay safe,1752
public health,1614
corona virus,1600
year old,1589
fight covid,1575
twitter web,1568
nursing home,1506
new covid,1479
around world,1410
health care,1401
positive covid,1374
herd immunity,1372
task force,1366
many people,1359
amid covid,1353
second infection,1239
wrote trump,1236
at home,1234
test positive,1192
young people,1164
leader group,1150
cure wrote,1147
peddling bleach,1143
group peddling,1143
cure wrote trump,1132
leader group peddling,1126
group peddling bleach,1123
york times,1121
new york times,1116
trump week,1105
death rate,1105
wrote trump week,1098
help us,1081
spread covid,1056
revealed leader,1048
society know,1043
revealed leader group,1041
fox news,1015
contact tracing,1015
good news,996
mental health,994
