word,count
new york,4603
stay home,3966
due covid,3119
death toll,3109
white house,3008
suspend immigration,2811
at home,2558
tested positive,2374
president trump,2329
twitter web,2301
health care,2227
task force,2206
public health,2149
gon na,2069
year old,2069
small business,1915
fake news,1864
fox news,1852
corona virus,1792
stay safe,1788
fight covid,1741
amid covid,1663
second wave,1658
immigration us,1645
many people,1533
around world,1469
death rate,1464
mental health,1444
positive covid,1398
new covid,1374
pandemia covid,1304
help us,1264
stay at,1257
stay at home,1255
trump administration,1247
york times,1243
new york times,1231
temporarily suspend,1214
good news,1211
temporarily suspend immigration,1194
contact tracing,1178
last week,1175
go back,1160
test positive,1159
join us,1130
back work,1129
suspend immigration us,1115
every day,1114
response covid,1097
spread covid,1079
