word,count
new york,6553
deliver copy,6394
stay home,4431
million people,4421
student debt,3866
stimulate economy,3709
people student,3696
people student debt,3695
million people student,3688
debt stimulate,3682
debt stimulate economy,3682
student debt stimulate,3682
death toll,3613
task force,2860
fake news,2845
white house,2826
tested positive,2575
due covid,2524
president trump,2456
twitter web,2177
stay safe,2167
public health,2147
health care,1992
corona virus,1912
fight covid,1856
gon na,1762
york times,1755
new york times,1748
amid covid,1731
positive covid,1615
year old,1538
many people,1476
last week,1414
around world,1388
fox news,1353
test positive,1247
trump administration,1226
new covid,1215
good news,1207
help us,1187
social media,1174
mental health,1164
at home,1154
sign petition,1141
prime minister,1140
contact tracing,1113
response covid,1078
long term,1055
herd immunity,1047
back work,1046
