word,count
stay home,4745
new york,4403
death toll,3081
fight covid,2851
due covid,2824
president trump,2270
twitter web,2219
white house,2214
task force,2202
stay safe,2035
public health,2035
tested positive,2024
people suffering,1989
gon na,1959
amid covid,1909
at home,1908
reduce people,1876
reduce people suffering,1872
health care,1872
fake news,1838
corona virus,1824
year old,1797
stay at,1713
stay at home,1707
battle covid,1672
last week,1638
around world,1520
many people,1516
first time,1499
positive covid,1473
small business,1447
new covid,1443
fight battle,1422
fight battle covid,1407
together fight,1402
fox news,1389
trump administration,1375
relief assistance,1348
test positive,1275
world health,1264
suspend immigration,1262
good news,1260
help us,1247
mental health,1246
come together,1208
every day,1187
go back,1161
social media,1158
contact tracing,1102
health organization,1097
