word,count
new york,5432
stay home,4239
death toll,3580
white house,2487
due covid,2405
twitter web,2179
fight covid,2169
fake news,2091
tested positive,2088
public health,2060
stay safe,2028
corona virus,1884
health care,1881
gon na,1836
year old,1813
president trump,1788
task force,1677
many people,1552
fox news,1537
intensive care,1492
sign petition,1433
positive covid,1431
good news,1397
around world,1387
amid covid,1369
test positive,1297
world health,1287
mental health,1256
every day,1189
prime minister,1158
petition via,1139
york times,1128
sign petition via,1125
new york times,1122
people dying,1099
spread covid,1081
social media,1064
response covid,1049
help us,1032
federal government,1030
go back,981
black people,963
make sure,938
keep safe,930
death rate,921
join us,892
new covid,882
pandemia covid,873
well done,868
at home,852
