State,code,date,claims
District of Columbia,DC,1/25/20,534
Florida,FL,1/25/20,5206
Georgia,GA,1/25/20,5257
Hawaii,HI,1/25/20,1014
Idaho,ID,1/25/20,1821
Illinois,IL,1/25/20,9762
Indiana,IN,1/25/20,2956
Iowa,IA,1/25/20,3115
Kansas,KS,1/25/20,2557
Kentucky,KY,1/25/20,2569
Louisiana,LA,1/25/20,1878
Maine,ME,1/25/20,944
Maryland,MD,1/25/20,3283
Massachusetts,MA,1/25/20,6022
Michigan,MI,1/25/20,7678
Minnesota,MN,1/25/20,3931
Mississippi,MS,1/25/20,993
Missouri,MO,1/25/20,5474
Montana,MT,1/25/20,922
Nebraska,NE,1/25/20,960
Nevada,NV,1/25/20,2101
New Hampshire,NH,1/25/20,577
New Jersey,NJ,1/25/20,9325
New Mexico,NM,1/25/20,764
New York,NY,1/25/20,15022
North Carolina,NC,1/25/20,3344
North Dakota,ND,1/25/20,543
Ohio,OH,1/25/20,8086
Oklahoma,OK,1/25/20,1830
Oregon,OR,1/25/20,4457
Pennsylvania,PA,1/25/20,13359
Rhode Island,RI,1/25/20,1048
South Carolina,SC,1/25/20,2248
South Dakota,SD,1/25/20,291
Tennessee,TN,1/25/20,2484
Texas,TX,1/25/20,13070
Utah,UT,1/25/20,1271
Vermont,VT,1/25/20,518
Virginia,VA,1/25/20,3059
Washington,WA,1/25/20,8072
West Virginia,WV,1/25/20,1290
Wisconsin,WI,1/25/20,6134
Wyoming,WY,1/25/20,531
Alabama,AL,2/8/20,2176
Alaska,AK,2/8/20,980
Arizona,AZ,2/8/20,3636
Arkansas,AR,2/8/20,1724
California,CA,2/8/20,40392
Colorado,CO,2/8/20,2482
Connecticut,CT,2/8/20,2944
Delaware,DE,2/8/20,608
District of Columbia,DC,2/8/20,508
Florida,FL,2/8/20,5605
Georgia,GA,2/8/20,5577
Hawaii,HI,2/8/20,1137
Idaho,ID,2/8/20,1443
Illinois,IL,2/8/20,9794
Indiana,IN,2/8/20,2725
Iowa,IA,2/8/20,2379
Kansas,KS,2/8/20,2107
Kentucky,KY,2/8/20,2936
Louisiana,LA,2/8/20,1805
Maine,ME,2/8/20,702
Maryland,MD,2/8/20,3150
Massachusetts,MA,2/8/20,5878
Michigan,MI,2/8/20,6627
Minnesota,MN,2/8/20,4108
Mississippi,MS,2/8/20,968
Missouri,MO,2/8/20,3670
Montana,MT,2/8/20,935
Nebraska,NE,2/8/20,675
Nevada,NV,2/8/20,2794
New Hampshire,NH,2/8/20,507
New Jersey,NJ,2/8/20,9288
New Mexico,NM,2/8/20,873
New York,NY,2/8/20,15010
North Carolina,NC,2/8/20,3326
North Dakota,ND,2/8/20,526
