word,count
stay home,5777
new york,2779
stay safe,1983
gon na,1938
trying times,1927
tested positive,1832
times share,1828
trying times share,1826
share support,1820
times share support,1815
corona virus,1792
twitter web,1435
due covid,1348
sign petition,1178
death toll,1157
stop spread,1151
white house,1151
public health,1139
president trump,1125
year old,1086
positive covid,1033
health care,917
fake news,915
task force,886
many people,880
good news,828
fox news,824
self employed,822
relief bill,822
amid covid,819
help stop,812
stimulus bill,799
going get,799
prime minister,796
non essential,786
last week,752
spread covid,747
fight covid,743
new york times,742
york times,742
self isolation,736
at home,731
home order,726
help us,722
help stop spread,715
stimulus package,703
please stay,687
test positive,685
around world,670
social media,664
