word,count
new york,4975
world health,4342
stay home,3768
death toll,3351
health organization,2998
world health organization,2881
president trump,2592
due covid,2557
tested positive,2414
deliver copy,2332
public health,2322
pandemic covid,2185
twitter web,2176
health care,2104
fight covid,2018
white house,1911
task force,1902
stay safe,1846
amid covid,1831
gon na,1766
fake news,1698
year old,1697
corona virus,1681
many people,1618
around world,1601
mental health,1525
fox news,1503
positive covid,1371
good news,1336
stimulus check,1261
pay cut,1247
spread covid,1241
part china,1159
pandemia covid,1148
at home,1142
help us,1138
long term,1124
every day,1106
lab part,1103
test positive,1099
lab part china,1096
nursing home,1092
york times,1087
new york times,1083
response covid,1070
social media,1053
new covid,1053
compete us,1041
make sure,1028
care home,1025
