word,count
new york,5426
stay home,4474
death toll,3363
intensive care,3060
white house,2892
world health,2815
fake news,2316
stay safe,2295
health care,2272
fight covid,2210
tested positive,2202
public health,2188
due covid,2177
prime minister,2103
twitter web,2007
gon na,1959
president trump,1940
positive covid,1834
corona virus,1833
task force,1793
health day,1738
world health day,1689
around world,1688
year old,1589
amid covid,1489
malaria drug,1374
many people,1341
fox news,1340
first time,1334
good news,1333
every day,1310
spread covid,1300
mental health,1242
york times,1227
new york times,1224
help us,1200
social media,1174
droplet yang,1129
let us,1076
test positive,1075
front line,1059
would like,1055
virus corona,1038
cast ballot,1030
sign petition,1028
every voter,1027
guarantee every,1006
passing bill,1006
guarantee every voter,1005
ballot mail,1003
