word,count
new york,6210
intensive care,5578
stay home,4482
prime minister,4213
death toll,3298
tested positive,3101
white house,2480
positive covid,2422
stay safe,2181
fake news,2164
corona virus,2105
due covid,2096
president trump,2024
public health,2024
twitter web,1994
fight covid,1941
task force,1858
gon na,1814
health care,1789
year old,1744
amid covid,1610
good news,1522
sign petition,1430
many people,1405
fox news,1402
around world,1397
get well,1277
social media,1265
last week,1215
spread covid,1175
well soon,1174
mental health,1170
test positive,1123
admitted hospital,1101
get well soon,1068
help us,1061
malaria drug,1060
trump administration,1031
york times,985
god bless,984
new york times,981
every day,969
york city,948
pandemia covid,945
new york city,943
make sure,928
world health,923
state emergency,917
at home,914
response covid,914
