word,count
new york,4954
stay home,4037
death toll,3072
tested positive,2866
due covid,2633
world health,2403
task force,2375
public health,2323
twitter web,2309
president trump,2186
gon na,2097
fox news,2053
fight covid,2043
stay safe,2026
health care,1924
fake news,1882
corona virus,1879
at home,1777
health organization,1773
white house,1754
amid covid,1732
mental health,1730
world health organization,1726
nursing home,1711
many people,1599
stay at,1594
stay at home,1580
year old,1562
positive covid,1534
twitter android,1495
small business,1458
help us,1447
around world,1439
pandemia covid,1345
good news,1344
home order,1333
contact tracing,1313
back work,1300
go back,1247
long term,1218
health minister,1187
trump cut,1167
every day,1150
make sure,1145
spread covid,1113
new covid,1101
sign petition,1101
york times,1099
social media,1094
new york times,1093
