word,count
new york,6242
stay home,4184
death toll,2988
public health,2504
white house,2375
fake news,2227
task force,2094
due covid,2057
twitter web,1996
stay safe,1981
fight covid,1953
tested positive,1938
fox news,1751
corona virus,1716
gon na,1675
health care,1640
year old,1597
amid covid,1539
intensive care,1499
prime minister,1428
sign petition,1407
many people,1402
president trump,1368
good news,1357
around world,1307
positive covid,1281
go back,1233
back work,1212
petition via,1208
sign petition via,1196
mental health,1179
spread covid,1175
every day,1095
test positive,1093
federal government,1037
social media,1005
response covid,998
help us,995
small business,981
york times,976
new york times,972
people dying,957
last week,903
make sure,898
would like,880
well done,873
trump administration,850
pandemia covid,836
front line,835
impact covid,827
