word,count
stay home,4996
new york,4368
death toll,2791
white house,2583
tested positive,2312
stay safe,2120
gon na,2078
public health,2011
due covid,1856
health care,1801
corona virus,1741
fox news,1729
task force,1724
twitter web,1685
sign petition,1640
president trump,1580
fight covid,1565
year old,1553
many people,1516
aircraft carrier,1477
fake news,1453
petition via,1381
positive covid,1377
sign petition via,1345
amid covid,1300
good news,1258
at home,1232
last week,1207
trump administration,1188
social media,1141
help us,1137
around world,1122
one million,1056
stay at,1032
spread covid,1028
stay at home,1026
mental health,1007
every day,976
home order,967
make sure,953
god bless,952
prime minister,949
test positive,942
people dying,897
york times,894
new york times,892
keep safe,875
response covid,862
dan strategi,827
front line,820
