word,count
new york,6805
stay home,5601
death toll,3075
stay safe,2619
year old,2593
tested positive,2576
corona virus,2071
fox news,2047
health care,2040
gon na,2033
fake news,1944
sign petition,1872
task force,1802
fight covid,1780
white house,1712
president trump,1656
due covid,1641
petition via,1601
sign petition via,1574
public health,1551
twitter web,1442
many people,1399
positive covid,1330
death rate,1308
please help,1250
around world,1146
good news,1138
amid covid,1117
york times,1100
new york times,1098
face mask,1086
social media,1023
people dying,1023
trump administration,1014
help us,1010
york city,1006
new york city,1002
wear mask,990
at home,981
god bless,968
every day,962
people die,942
go back,908
spread covid,859
mental health,858
make sure,843
prime minister,840
life saving,808
stay at,791
test positive,789
