word,count
death toll,6417
new york,4114
stay home,3842
due covid,2462
tested positive,2172
fox news,2153
task force,2117
health care,1973
twitter web,1938
stay safe,1882
gon na,1857
president trump,1810
public health,1803
corona virus,1777
amid covid,1766
fight covid,1733
white house,1678
at home,1678
many people,1596
mental health,1515
stay at,1498
stay at home,1493
year old,1457
fake news,1448
positive covid,1340
new covid,1320
world health,1251
contact tracing,1250
nursing home,1243
every day,1242
first time,1217
small business,1200
around world,1166
death rate,1158
good news,1156
spread covid,1094
help us,1091
health organization,1056
go back,1045
test positive,1040
man made,1033
world health organization,1015
back work,1005
long term,1001
social media,956
response covid,951
pandemia covid,928
twitter android,922
health minister,919
people dying,917
