word,count
stay home,5979
new york,5467
death toll,2707
must act,2645
deliver copy,2610
must act deliver,2552
act deliver copy,2552
act deliver,2552
stay safe,2541
tested positive,2482
gon na,2102
corona virus,2005
due covid,1992
health care,1956
fake news,1886
last week,1778
twitter web,1728
president trump,1709
year old,1654
public health,1647
fight covid,1631
sign petition,1582
good news,1515
positive covid,1444
virus covid,1411
white house,1327
amid covid,1308
many people,1293
fox news,1246
task force,1227
petition via,1176
around world,1164
sign petition via,1161
home order,1155
self isolation,1142
at home,1135
mental health,1113
good job,1103
help us,1080
people dying,1056
every day,1031
social media,1031
god bless,1031
spread covid,998
prime minister,964
test positive,942
stay at,917
stay at home,910
death rate,877
breathing aid,869
