word,count
stay home,5719
tested positive,4883
new york,4791
prime minister,4210
stay safe,3011
corona virus,2552
positive covid,2406
gon na,2221
health care,1935
due covid,1894
death toll,1890
president trump,1799
year old,1771
public health,1759
virus covid,1707
fake news,1673
twitter web,1622
white house,1523
test positive,1455
sign petition,1437
fight covid,1415
many people,1411
relief bill,1321
get well,1298
help us,1294
around world,1236
amid covid,1225
petition via,1190
good news,1184
well soon,1173
sign petition via,1168
stimulus bill,1161
people dying,1132
stimulus package,1115
get well soon,1115
task force,1099
social media,1049
spread covid,1046
york times,1018
new york times,1012
take care,969
god bless,969
fox news,954
every day,912
make sure,908
self isolation,885
world health,847
get tested,835
breaking news,817
mental health,814
