word,count
deliver copy,8425
new york,6171
happy easter,4831
death toll,4753
stay home,4546
stay safe,2348
york times,2223
new york times,2215
tested positive,2167
fake news,2056
corona virus,1977
due covid,1835
white house,1732
public health,1723
fight covid,1706
prime minister,1698
many people,1618
health care,1616
twitter web,1539
gon na,1511
amid covid,1505
virus covid,1496
president trump,1480
year old,1425
death rate,1396
trump administration,1348
around world,1331
task force,1311
fox news,1291
positive covid,1281
total number,1157
test positive,1130
good news,1113
herd immunity,1101
god bless,1040
contact tracing,1027
first time,957
postal service,947
new covid,941
people dying,939
social media,930
domestic abuse,913
twitter android,912
every day,901
help us,899
red dawn,878
go back,877
mental health,873
sign petition,870
at home,860
