word,count
new york,6683
stay home,4095
earth day,3632
death toll,3122
second wave,3041
due covid,2823
twitter web,2500
test positive,2492
public health,2386
task force,2350
fox news,2339
tested positive,2316
positive covid,2281
gon na,2106
president trump,2057
white house,1941
stay safe,1881
amid covid,1855
health care,1818
fight covid,1796
fake news,1764
climate change,1727
at home,1703
corona virus,1634
year old,1628
around world,1593
many people,1575
new covid,1559
mental health,1555
long term,1428
death rate,1407
join us,1349
contact tracing,1322
small business,1304
good news,1236
go back,1205
york times,1194
help us,1188
new york times,1187
every day,1178
pandemia covid,1176
test positive covid,1145
prime minister,1137
stay at,1117
stay at home,1109
spread covid,1106
trump administration,1099
back work,1097
make sure,1093
look like,1089
