word,count
stay home,4573
trying times,4334
times share,4254
trying times share,4249
share support,4225
times share support,4223
new york,2893
tested positive,2439
corona virus,1848
gon na,1786
stop spread,1738
stay safe,1632
sign petition,1597
test positive,1434
help stop,1392
death toll,1370
help stop spread,1322
president trump,1183
mass testing,1145
positive covid,1114
year old,1063
twitter web,980
health care,882
many people,855
white house,855
due covid,850
petition via,827
task force,808
sign petition via,808
fake news,801
public health,793
good news,738
prime minister,724
government sign,696
sen rand,672
self isolation,672
around world,625
social media,621
get tested,620
york times,615
new york times,613
wan na,612
stimulus package,606
please stay,597
help us,596
join fight,591
amid covid,591
twitter android,584
via change,584
spread covid,582
