word,count
new york,5604
stay home,5294
must act,3856
deliver copy,3836
act deliver,3680
act deliver copy,3680
must act deliver,3680
death toll,2760
tested positive,2330
stay safe,2275
people dying,2189
corona virus,2160
gon na,2079
president trump,2053
year old,1765
fake news,1575
health care,1517
positive covid,1453
fight covid,1430
public health,1420
task force,1355
due covid,1347
many people,1325
white house,1296
sign petition,1228
twitter web,1114
good news,1090
test positive,1087
death rate,1083
mental health,1056
petition via,1053
prime minister,1038
sign petition via,1035
fox news,1031
around world,1001
last week,1000
help us,949
god bless,941
york times,905
new york times,902
people die,854
social media,853
amid covid,827
every day,826
spread covid,807
front line,769
wan na,753
take care,751
make sure,743
please stay,742
