word,count
stay home,5271
new york,4368
death toll,3072
white house,2767
tested positive,2516
stay safe,2360
gon na,2289
due covid,2247
corona virus,2028
sign petition,2001
fake news,1908
health care,1892
public health,1882
task force,1805
twitter web,1740
year old,1680
fight covid,1675
president trump,1575
petition via,1573
sign petition via,1560
many people,1499
positive covid,1491
fox news,1413
at home,1376
home order,1276
amid covid,1260
help us,1241
stay at,1207
stay at home,1200
around world,1178
first time,1177
good news,1144
people dying,1090
every day,1065
social media,1065
test positive,1048
spread covid,1036
last week,1030
god bless,1020
keep safe,1018
mental health,998
make sure,962
trump administration,939
please help,923
people die,878
take care,877
protective equipment,846
made pillow,833
go back,829
world war,822
