word,count
death toll,4640
new york,4305
one world,4251
stay home,4115
world together,3199
together home,3193
world together home,3085
one world together,3054
tested positive,2256
due covid,2046
home special,1908
gon na,1898
together home special,1894
at home,1872
president trump,1828
fight covid,1821
stay safe,1805
task force,1799
stay at,1676
stay at home,1669
corona virus,1617
public health,1580
fake news,1571
white house,1570
fox news,1538
many people,1531
health care,1481
celebrate covid,1450
positive covid,1447
special celebrate,1433
test positive,1425
world health,1420
special celebrate covid,1417
home special celebrate,1416
twitter web,1402
chief staff,1399
amid covid,1349
new covid,1327
year old,1316
around world,1226
health organization,1162
want know,1156
herd immunity,1133
world health organization,1130
death rate,1120
make difference,1055
help support,1050
every day,984
good news,982
go back,976
