word,count,change
stay home,4745,1.0
new york,4403,-1
death toll,3081,0
fight covid,2851,20
due covid,2824,10
president trump,2270,-1
twitter web,2219,14
white house,2214,1
task force,2202,-3
stay safe,2035,8
public health,2035,8
tested positive,2024,4
people suffering,1989,New
gon na,1959,0
amid covid,1909,5
at home,1908,6
reduce people,1876,New
reduce people suffering,1872,New
health care,1872,9
fake news,1838,-9
corona virus,1824,-4
year old,1797,9
stay at,1713,3
stay at home,1707,3
battle covid,1672,New
last week,1638,New
around world,1520,2
many people,1516,-5
first time,1499,19
positive covid,1473,4
small business,1447,New
new covid,1443,0
fight battle,1422,New
fight battle covid,1407,New
together fight,1402,New
fox news,1389,-26
trump administration,1375,-30
relief assistance,1348,New
test positive,1275,-4
world health,1264,-36
suspend immigration,1262,New
good news,1260,2
help us,1247,2
mental health,1246,2
come together,1208,New
every day,1187,New
go back,1161,-4
social media,1158,New
contact tracing,1102,New
health organization,1097,-38
