word,count,change
new york,6210,0.0
intensive care,5578,New
stay home,4482,1
prime minister,4213,-2
death toll,3298,2
tested positive,3101,2
white house,2480,0
positive covid,2422,-1
stay safe,2181,-5
fake news,2164,0
corona virus,2105,-1
due covid,2096,-9
president trump,2024,-4
public health,2024,-5
twitter web,1994,-8
fight covid,1941,8
task force,1858,1
gon na,1814,7
health care,1789,-1
year old,1744,7
amid covid,1610,-9
good news,1522,-7
sign petition,1430,-5
many people,1405,6
fox news,1402,10
around world,1397,0
get well,1277,New
social media,1265,-21
last week,1215,New
spread covid,1175,New
well soon,1174,New
mental health,1170,New
test positive,1123,New
admitted hospital,1101,29
get well soon,1068,New
help us,1061,-14
malaria drug,1060,New
trump administration,1031,0
york times,985,8
god bless,984,-3
new york times,981,9
every day,969,New
york city,948,18
pandemia covid,945,New
new york city,943,18
make sure,928,New
world health,923,New
state emergency,917,New
at home,914,New
response covid,914,New
