word,count,change
death toll,6417,-2.0
new york,4114,1
stay home,3842,1
due covid,2462,-1
tested positive,2172,1
fox news,2153,-6
task force,2117,0
health care,1973,-7
twitter web,1938,0
stay safe,1882,-4
gon na,1857,0
president trump,1810,2
public health,1803,5
corona virus,1777,-3
amid covid,1766,-6
fight covid,1733,3
white house,1678,-3
at home,1678,0
many people,1596,-6
mental health,1515,-2
stay at,1498,-5
stay at home,1493,-5
year old,1457,-5
fake news,1448,8
positive covid,1340,-4
new covid,1320,-20
world health,1251,21
contact tracing,1250,-9
nursing home,1243,5
every day,1242,-13
first time,1217,New
small business,1200,1
around world,1166,0
death rate,1158,New
good news,1156,0
spread covid,1094,-9
help us,1091,5
health organization,1056,19
go back,1045,0
test positive,1040,New
man made,1033,New
world health organization,1015,19
back work,1005,5
long term,1001,4
social media,956,-4
response covid,951,New
pandemia covid,928,13
twitter android,922,18
health minister,919,8
people dying,917,New
