word,count,change
deliver copy,8425,New
new york,6171,-1.0
happy easter,4831,42
death toll,4753,-2
stay home,4546,-2
stay safe,2348,0
york times,2223,10
new york times,2215,10
tested positive,2167,-5
fake news,2056,-1
corona virus,1977,-3
due covid,1835,-5
white house,1732,-8
public health,1723,-1
fight covid,1706,-1
prime minister,1698,24
many people,1618,-2
health care,1616,2
twitter web,1539,0
gon na,1511,-9
amid covid,1505,-9
virus covid,1496,28
president trump,1480,5
year old,1425,-14
death rate,1396,0
trump administration,1348,9
around world,1331,-4
task force,1311,-7
fox news,1291,-5
positive covid,1281,-8
total number,1157,-1
test positive,1130,-6
good news,1113,-4
herd immunity,1101,8
god bless,1040,11
contact tracing,1027,-20
first time,957,-6
postal service,947,New
new covid,941,New
people dying,939,-13
social media,930,-7
domestic abuse,913,New
twitter android,912,1
every day,901,-7
help us,899,-9
red dawn,878,New
go back,877,-8
mental health,873,New
sign petition,870,-17
at home,860,New
