word,count,change
stay home,4356,0.0
new york,3665,0
white house,3165,6
tested positive,2772,2
positive covid,1743,14
stay safe,1732,-3
gon na,1724,-3
stimulus package,1683,36
slow spread,1651,32
death toll,1608,6
corona virus,1589,-6
twitter web,1584,-4
house senate,1464,New
help slow,1441,New
year old,1433,0
white house senate,1410,New
help slow spread,1395,New
stimulus bill,1358,14
identify risk,1319,New
due covid,1297,-9
sooner self,1291,New
daily even,1242,New
president trump,1165,-11
good news,1075,-4
test positive,1022,3
relief bill,996,8
senate reach,957,New
house senate reach,938,New
amid covid,932,-5
sign petition,921,-23
fake news,920,-13
public health,917,-18
health care,915,-8
fight covid,886,-1
china must,836,New
many people,817,-5
deliver copy,810,New
trillion stimulus,800,New
must act,795,New
self isolation,786,8
international court,785,New
veto power,783,New
around world,760,-3
task force,760,-17
deal trillion,759,New
fox news,757,-33
stimulus deal,755,New
dragged international,737,New
must dragged,737,New
dragged international court,736,New
