word,count,change
new york,6805,-1.0
stay home,5601,1
death toll,3075,-3
stay safe,2619,1
year old,2593,-11
tested positive,2576,-2
corona virus,2071,-4
fox news,2047,-6
health care,2040,5
gon na,2033,3
fake news,1944,-10
sign petition,1872,-12
task force,1802,-2
fight covid,1780,2
white house,1712,10
president trump,1656,-3
due covid,1641,8
petition via,1601,-18
sign petition via,1574,-21
public health,1551,10
twitter web,1442,8
many people,1399,2
positive covid,1330,-2
death rate,1308,New
please help,1250,New
around world,1146,8
good news,1138,1
amid covid,1117,6
york times,1100,-8
new york times,1098,-8
face mask,1086,New
social media,1023,1
people dying,1023,-13
trump administration,1014,17
help us,1010,5
york city,1006,New
new york city,1002,New
wear mask,990,-4
at home,981,16
god bless,968,-3
every day,962,2
people die,942,New
go back,908,-7
spread covid,859,9
mental health,858,16
make sure,843,12
prime minister,840,6
life saving,808,New
stay at,791,22
test positive,789,New
