word,count,change
stay home,5430,0.0
new york,5185,0
stay safe,3186,3
health care,2560,6
white house,2462,-1
death toll,2354,-3
gon na,2194,0
tested positive,2163,-3
due covid,2077,0
public health,1969,-2
corona virus,1951,0
fight covid,1808,5
twitter web,1794,1
fox news,1772,-2
task force,1729,-2
year old,1614,2
trump administration,1582,12
around world,1424,14
president trump,1402,-3
many people,1393,-1
fake news,1373,0
amid covid,1334,3
at home,1317,4
sign petition,1311,-9
positive covid,1271,-2
good news,1164,0
stay at,1147,7
stay at home,1139,8
mental health,1132,8
help us,1087,1
social media,1072,-1
virus covid,1050,New
home order,1036,6
make sure,1033,6
spread covid,1001,0
petition via,982,-14
york times,966,8
new york times,964,8
every day,961,-1
sign petition via,961,-16
prime minister,939,1
wear mask,905,New
god bless,893,-2
stop spread,881,New
small business,871,New
people dying,871,-2
response covid,865,1
take care,850,New
global pandemic,842,New
go back,841,New
