word,count,change
new york,6683,0.0
stay home,4095,0
earth day,3632,New
death toll,3122,0
second wave,3041,-18
due covid,2823,3
twitter web,2500,-3
test positive,2492,-36
public health,2386,-4
task force,2350,-2
fox news,2339,-7
tested positive,2316,4
positive covid,2281,-16
gon na,2106,0
president trump,2057,6
white house,1941,11
stay safe,1881,-3
amid covid,1855,-4
health care,1818,8
fight covid,1796,-1
fake news,1764,4
climate change,1727,New
at home,1703,16
corona virus,1634,5
year old,1628,10
around world,1593,0
many people,1575,2
new covid,1559,-2
mental health,1555,1
long term,1428,New
death rate,1407,4
join us,1349,-13
contact tracing,1322,-8
small business,1304,18
good news,1236,-4
go back,1205,-7
york times,1194,1
help us,1188,6
new york times,1187,2
every day,1178,-8
pandemia covid,1176,10
test positive covid,1145,New
prime minister,1137,New
stay at,1117,11
stay at home,1109,11
spread covid,1106,-4
trump administration,1099,12
back work,1097,2
make sure,1093,New
look like,1089,New
