word,count,change
new york,5842,0.0
death toll,5489,-1
stay home,4665,1
tested positive,2133,-2
white house,1923,1
stay safe,1910,-2
due covid,1840,0
corona virus,1718,-4
fake news,1705,0
year old,1701,-6
gon na,1640,-3
amid covid,1636,-6
public health,1573,3
fight covid,1528,-3
many people,1502,-4
contact tracing,1473,5
york times,1470,-29
new york times,1466,-29
twitter web,1453,6
health care,1404,5
task force,1379,16
positive covid,1378,0
around world,1373,-2
fox news,1232,3
death rate,1200,-15
test positive,1142,-5
people dying,1099,-10
president trump,1090,8
good news,1019,1
total number,996,New
first time,988,New
sign petition,939,9
single day,933,New
social media,923,4
trump administration,889,New
help us,884,-13
every day,879,4
front line,870,New
go back,867,1
prime minister,860,-3
people die,859,-9
herd immunity,842,7
testing positive,841,New
twitter android,841,New
happy easter,839,New
god bless,821,New
nursing home,817,New
york city,807,19
spread covid,806,7
virus covid,801,9
