word,count,change
new york,6553,1.0
deliver copy,6394,-1
stay home,4431,2
million people,4421,New
student debt,3866,New
stimulate economy,3709,New
people student,3696,New
people student debt,3695,New
million people student,3688,New
debt stimulate,3682,New
debt stimulate economy,3682,New
student debt stimulate,3682,New
death toll,3613,-9
task force,2860,14
fake news,2845,-5
white house,2826,-3
tested positive,2575,-8
due covid,2524,-6
president trump,2456,4
twitter web,2177,-1
stay safe,2167,-15
public health,2147,-8
health care,1992,-5
corona virus,1912,-13
fight covid,1856,-10
gon na,1762,-6
york times,1755,-20
new york times,1748,-20
amid covid,1731,-8
positive covid,1615,0
year old,1538,-7
many people,1476,-15
last week,1414,New
around world,1388,-7
fox news,1353,-6
test positive,1247,-4
trump administration,1226,-11
new covid,1215,1
good news,1207,-6
help us,1187,5
social media,1174,0
mental health,1164,6
at home,1154,7
sign petition,1141,5
prime minister,1140,-29
contact tracing,1113,-10
response covid,1078,New
long term,1055,New
herd immunity,1047,-15
back work,1046,New
