word,count,change
new york,5432,0.0
stay home,4239,0
death toll,3580,0
white house,2487,-1
due covid,2405,-8
twitter web,2179,-9
fight covid,2169,-3
fake news,2091,1
tested positive,2088,-2
public health,2060,-2
stay safe,2028,3
corona virus,1884,-7
health care,1881,4
gon na,1836,-2
year old,1813,-9
president trump,1788,-1
task force,1677,-3
many people,1552,-9
fox news,1537,-9
intensive care,1492,16
sign petition,1433,-24
positive covid,1431,4
good news,1397,-7
around world,1387,1
amid covid,1369,0
test positive,1297,-14
world health,1287,21
mental health,1256,-5
every day,1189,-2
prime minister,1158,16
petition via,1139,New
york times,1128,-2
sign petition via,1125,New
new york times,1122,-1
people dying,1099,New
spread covid,1081,4
social media,1064,0
response covid,1049,New
help us,1032,3
federal government,1030,New
go back,981,New
black people,963,New
make sure,938,New
keep safe,930,New
death rate,921,New
join us,892,New
new covid,882,New
pandemia covid,873,New
well done,868,New
at home,852,New
