word,count,change
new york,7634,0.0
stay home,4998,0
death toll,4218,0
white house,2600,-1
task force,2408,-2
tested positive,2240,-6
due covid,2174,-1
stay safe,2166,-2
fake news,2106,3
public health,2026,6
contact tracing,2012,New
corona virus,1912,-2
twitter web,1836,4
gon na,1780,-1
health care,1776,-1
year old,1734,-1
fight covid,1729,6
amid covid,1714,0
many people,1598,-3
president trump,1511,-3
fox news,1476,8
positive covid,1468,-4
sign petition,1438,2
hart island,1383,New
around world,1333,0
petition via,1240,-3
sign petition via,1225,-3
good news,1217,4
york city,1173,New
social media,1170,-6
test positive,1161,-3
new york city,1160,New
every day,1133,0
federal government,1125,-1
herd immunity,1119,New
back work,1086,8
people dying,1067,-5
go back,1027,11
mental health,1026,8
death rate,1020,New
virus covid,1008,New
spread covid,1006,10
prime minister,973,23
new covid,971,New
make sure,967,1
york times,964,6
new york times,961,6
via change,947,New
help us,947,11
people die,923,New
