word,count,change
new york,5385,0.0
stay home,4735,1
death toll,3745,10
world health,3577,New
deliver copy,3345,-3
health organization,3197,New
world health organization,3133,New
million people,2928,-4
president trump,2811,10
due covid,2637,8
student debt,2475,-6
fight covid,2442,13
stimulate economy,2401,-7
tested positive,2392,3
people student debt,2385,-7
million people student,2385,-7
people student,2385,-10
student debt stimulate,2378,-6
debt stimulate economy,2378,-8
debt stimulate,2378,-10
twitter web,2353,-1
white house,2331,-6
public health,2316,-1
task force,2208,-10
stay safe,2154,-4
health care,2110,-3
fake news,2069,-12
gon na,1881,-2
corona virus,1877,-5
year old,1808,1
amid covid,1745,-2
many people,1641,0
positive covid,1562,-3
around world,1472,0
mental health,1404,7
till may,1394,New
make sure,1374,New
care home,1324,New
prime minister,1306,6
test positive,1303,-4
good news,1249,-2
long term,1236,6
help us,1202,-3
total authority,1196,New
spread covid,1194,New
link android,1179,New
york times,1160,-20
new york times,1159,-20
at home,1156,-6
social media,1145,-9
