word,count,change
new york,5426,0.0
stay home,4474,1
death toll,3363,2
intensive care,3060,-2
white house,2892,2
world health,2815,41
fake news,2316,3
stay safe,2295,1
health care,2272,10
fight covid,2210,6
tested positive,2202,-5
public health,2188,2
due covid,2177,-1
prime minister,2103,-10
twitter web,2007,0
gon na,1959,2
president trump,1940,-4
positive covid,1834,-10
corona virus,1833,-8
task force,1793,-3
health day,1738,New
world health day,1689,New
around world,1688,3
year old,1589,-4
amid covid,1489,-4
malaria drug,1374,11
many people,1341,-3
fox news,1340,-3
first time,1334,New
good news,1333,-8
every day,1310,11
spread covid,1300,-2
mental health,1242,-1
york times,1227,5
new york times,1224,6
help us,1200,0
social media,1174,-9
droplet yang,1129,New
let us,1076,New
test positive,1075,-7
front line,1059,New
would like,1055,New
virus corona,1038,New
cast ballot,1030,New
sign petition,1028,-22
every voter,1027,New
guarantee every,1006,New
passing bill,1006,New
guarantee every voter,1005,New
ballot mail,1003,New
