word,count,change
stay home,5271,0.0
new york,4368,0
death toll,3072,-1
white house,2767,-1
tested positive,2516,2
stay safe,2360,0
gon na,2289,-1
due covid,2247,-3
corona virus,2028,0
sign petition,2001,-8
fake news,1908,-6
health care,1892,2
public health,1882,-1
task force,1805,-1
twitter web,1740,-1
year old,1680,9
fight covid,1675,-3
president trump,1575,-1
petition via,1573,-12
sign petition via,1560,-13
many people,1499,0
positive covid,1491,9
fox news,1413,-6
at home,1376,-20
home order,1276,-23
amid covid,1260,4
help us,1241,-3
stay at,1207,New
stay at home,1200,New
around world,1178,4
first time,1177,-11
good news,1144,8
people dying,1090,-3
every day,1065,0
social media,1065,0
test positive,1048,9
spread covid,1036,-1
last week,1030,10
god bless,1020,-1
keep safe,1018,New
mental health,998,9
make sure,962,5
trump administration,939,0
please help,923,New
people die,878,-5
take care,877,-1
protective equipment,846,New
made pillow,833,25
go back,829,3
world war,822,New
